objID,ra,dec,z,lgm_tot_p50,sfr_tot_p50,oh_p50
1237673808117170541,119.170061157246,17.9831150128621,0.04084421,9.704599,0.02721904,8.731006
1237655693016236382,227.362258839623,-1.27606226054488,0.03647864,9.915687,-0.211895,8.907331
1237667967497208028,229.599915074458,18.5292860049261,0.04383485,9.729171,0.2216358,8.861859
1237653652911423584,6.48359133375209,15.6375455441518,0.03650936,10.08706,0.2391443,8.990009
1237661138493374611,144.378041749989,35.172221525739,0.04197665,10.37916,0.1584235,9.090214
1237667539081625629,150.973757269668,22.1928323797289,0.04496368,9.919016,0.525546,8.885972
1237661950785749132,171.686111574418,12.8484238162168,0.04108271,10.55472,0.04691895,9.07968
1237667730730844515,121.524210924756,10.2653384352139,0.03499935,9.636913,-0.5108139,9.011437
1237662499470442630,241.81475894314,35.2048227502759,0.03212082,10.10092,-0.1775861,8.949653
1237667781205885135,141.368806159862,15.5253278773541,0.03911374,9.447962,-0.1445514,8.814988
1237651271887290583,129.100291953951,52.4723610852435,0.04289319,10.02965,-0.05525646,8.933516
1237654628400759051,120.872969482963,38.442283194372,0.03994737,9.862428,-0.3786451,8.990086
1237662224057958520,157.704544361873,36.0518043079926,0.0444501,10.34652,0.1377193,9.045209
1237660670353342640,151.73096559488,10.6674349709019,0.04269379,9.864581,-0.08605327,8.939757
1237657856609615956,178.811262038547,52.3146296698435,0.0350775,9.591207,-0.03283189,8.756535
1237665428639383656,226.680987575196,23.2186976199161,0.04408889,10.50012,-0.006865632,8.948668
1237667783896662157,155.882368357221,20.7743349120591,0.04196968,9.705479,-0.2973527,8.9481
1237657401872875845,118.189020848249,29.6766250469887,0.03899279,10.19091,-0.2038903,8.907588
1237651752929788028,164.458192194207,1.64862237004159,0.03887564,9.852804,0.1053612,9.032912
1237664338249383949,166.505876839979,36.1883623268029,0.04680731,9.866763,0.6108996,8.850488
1237662530063827146,208.843225181835,13.8745750740078,0.03900629,9.368553,-0.4000001,8.766847
1237667253996093606,135.854476553682,20.6674016141216,0.03204906,10.4548,0.4402563,9.110115
1237667444048855377,195.428649277209,27.7475629316865,0.0354218,9.385297,-0.3185277,8.810085
1237665098453680516,120.624691894631,17.2847302470336,0.04056807,9.749799,-0.6149366,8.905264
1237661388678627476,214.414235705773,55.0408942338529,0.04140205,10.06397,0.09869101,9.049793
1237662194537136253,216.345019294987,37.8913528945496,0.04358954,9.600464,-0.5248274,8.91713
1237654029787660428,162.276214298469,2.22414174470611,0.0354887,10.07355,0.2887021,9.071815
1237655369826697413,193.565573257626,62.172862197014,0.03905293,9.340544,-0.3169641,8.467697
1237661967423897732,166.056079964484,40.9591884123528,0.03338069,9.801037,-0.2221079,8.939546
1237657857683423369,178.938650604174,52.9939412439278,0.04971696,10.29269,0.3168846,9.19563
1237662637439844515,218.653637134181,12.8117055405926,0.03860559,9.921912,0.09514919,8.938218
1237667782823641229,157.752336210456,20.2825010277508,0.04364002,9.960002,-0.1811062,9.076848
1237662300839674056,250.741779142941,26.8734055125274,0.04595145,10.08135,-0.5481704,9.011504
1237654029251838111,164.738441099989,1.77533986474428,0.04282213,9.310349,0.380402,8.757771
1237652946379866269,3.95125809741708,-10.9661634731511,0.04636163,9.555562,-0.1454007,8.818645
1237662264324850001,233.54418319345,7.09372293198539,0.04652096,11.0475,-0.1083333,9.131509
1237664094503436921,116.346558146069,18.2366007681198,0.046202,10.48735,0.3784801,9.087955
1237665548888178768,211.17085623975,24.7559576100509,0.03758911,9.723901,-0.1705757,8.92739
1237661871336259599,204.925155768215,42.1199412657825,0.03691531,10.29527,-0.03696721,8.969773
1237655109447647368,166.268396773224,59.6659185115386,0.03323677,9.893129,0.3304251,8.925658
